state,pollster,number.of.observations,start.date,end.date,obama,romney,other,undecided,mode,population
NJ,Stockton College,811,10/23/12,10/26/12,53,38,9,0,Live Phone,Likely Voters
CT,Rasmussen,500,10/23/12,10/26/12,52,45,3,0,Live Phone,Likely Voters
WA,Strategies 360,500,10/23/12,10/26/12,52,39,9,0,Live Phone,Likely Voters
MN,Rasmussen,500,10/23/12,10/26/12,51,45,4,0,Live Phone,Likely Voters
IA,Public Policy,660,10/23/12,10/26/12,49,48,3,0,Live Phone,Likely Voters
NV,American Research Group,600,10/23/12,10/26/12,49,47,4,0,Live Phone,Likely Voters
NH,American Research Group,600,10/23/12,10/26/12,47,49,4,0,Live Phone,Likely Voters
--,ABC News/Washington Post,1386,10/21/12,10/26/12,47,50,0,2,Live Phone,Likely Voters
ND,Essman Research,500,10/23/12,10/26/12,32,57,11,0,Live Phone,Likely Voters
MD,Washington Post,843,10/24/12,10/27/12,60,36,4,0,Live Phone,Likely Voters
MA,MassINC,516,10/24/12,10/27/12,56,36,8,0,Live Phone,Likely Voters
CT,Quinnipiac,1412,10/24/12,10/27/12,55,41,4,0,Live Phone,Likely Voters
NV,Public Policy,636,10/24/12,10/27/12,51,47,2,0,Live Phone,Likely Voters
NV,Rasmussen,500,10/24/12,10/27/12,50,48,2,0,Live Phone,Likely Voters
OH,TIME,783,10/24/12,10/27/12,49,44,7,0,Live Phone,Likely Voters
--,Politico/George Washington University/Battleground,1000,10/22/12,10/27/12,49,48,0,2,Live Phone,Likely Voters
--,PPP/Americans United for Change,1200,10/22/12,10/27/12,49,48,0,2,Live Phone,Likely Voters
NH,Rasmussen,500,10/24/12,10/27/12,48,50,2,0,Live Phone,Likely Voters
OH,Rasmussen,750,10/24/12,10/27/12,48,48,4,0,Live Phone,Likely Voters
--,Gallup ,3050,10/22/12,10/27/12,48,48,0,2,Live Phone,Likely Voters
OH,SurveyUSA,609,10/24/12,10/27/12,47,44,9,0,Live Phone,Likely Voters
--,High Point University,805,10/22/12,10/27/12,46,43,2,6,Live Phone,Likely Voters
--,Investor's Business Daily/TIPP,942,10/22/12,10/27/12,45,44,2,6,Live Phone,Likely Voters
AR,University of Arkansas,642,10/24/12,10/27/12,31,58,11,0,Live Phone,Likely Voters
UT,Key Research,500,10/24/12,10/27/12,20,71,9,0,Live Phone,Likely Voters
NY,NY1/YNN-Marist,565,10/25/12,10/28/12,61,35,4,0,Live Phone,Likely Voters
CO,Public Policy,904,10/25/12,10/28/12,51,47,2,0,Live Phone,Likely Voters
PA,Rasmussen,500,10/25/12,10/28/12,51,46,3,0,Live Phone,Likely Voters
VA,Public Policy,722,10/25/12,10/28/12,51,46,3,0,Live Phone,Likely Voters
WI,Public Policy,827,10/25/12,10/28/12,51,45,4,0,Live Phone,Likely Voters
NV,NBC/WSJ/Marist,1042,10/25/12,10/28/12,50,47,3,0,Live Phone,Likely Voters
CT,Mason-Dixon,625,10/25/12,10/28/12,49,42,9,0,Live Phone,Likely Voters
FL,Gravis Marketing,1182,10/25/12,10/28/12,49,50,1,0,Live Phone,Likely Voters
IA,Public Policy,690,10/25/12,10/28/12,49,47,4,0,Live Phone,Likely Voters
CO,NBC/WSJ/Marist,1128,10/25/12,10/28/12,48,48,4,0,Live Phone,Likely Voters
NC,Public Policy,880,10/25/12,10/28/12,48,48,4,0,Live Phone,Likely Voters
VA,Rasmussen,750,10/25/12,10/28/12,48,50,2,0,Live Phone,Likely Voters
WI,Mason-Dixon,625,10/25/12,10/28/12,48,46,6,0,Live Phone,Likely Voters
MI,"Foster, Baydoun",1122,10/25/12,10/28/12,47,47,6,0,Live Phone,Likely Voters
--,National Public Radio,1000,10/23/12,10/28/12,47,48,0,2,Live Phone,Likely Voters
OH,Lake Research,600,10/25/12,10/28/12,46,44,10,0,Live Phone,Likely Voters
VA,Univ. VA/George Mason,641,10/25/12,10/28/12,45,46,9,0,Live Phone,Registered Voters
AZ,Rasmussen,500,10/25/12,10/28/12,44,52,4,0,Live Phone,Likely Voters
CA,PPIC,993,10/26/12,10/29/12,53,41,6,0,Live Phone,Likely Voters
--,Ipsos/Reuters,1133,10/24/12,10/29/12,51,39,2,6,Live Phone,Likely Voters
IA,Gravis Marketing,517,10/26/12,10/29/12,50,46,4,0,Live Phone,Likely Voters
NV,Gravis Marketing,955,10/26/12,10/29/12,50,49,1,0,Live Phone,Likely Voters
OH,CNN | ORC,741,10/26/12,10/29/12,50,46,4,0,Live Phone,Likely Voters
NH,New England College,571,10/26/12,10/29/12,49,46,5,0,Live Phone,Likely Voters
OH,American Research Group,600,10/26/12,10/29/12,49,47,4,0,Live Phone,Likely Voters
WI,Rasmussen,500,10/26/12,10/29/12,49,49,2,0,Live Phone,Likely Voters
FL,Rasmussen,750,10/26/12,10/29/12,48,50,2,0,Live Phone,Likely Voters
CO,Purple Strategies,600,10/26/12,10/29/12,47,46,7,0,Live Phone,Likely Voters
VA,Purple Strategies,600,10/26/12,10/29/12,47,47,6,0,Live Phone,Likely Voters
--,Pew,1678,10/24/12,10/29/12,47,45,2,4,Live Phone,Likely Voters
FL,Sunshine State News,1001,10/26/12,10/29/12,46,51,3,0,Live Phone,Likely Voters
OH,Purple Strategies,600,10/26/12,10/29/12,46,44,10,0,Live Phone,Likely Voters
NC,Gravis Marketing,1723,10/26/12,10/29/12,45,53,2,0,Live Phone,Likely Voters
VA,Fox News,1126,10/26/12,10/29/12,45,47,8,0,Live Phone,Likely Voters
NY,Siena College,750,10/27/12,10/30/12,59,35,6,0,Live Phone,Likely Voters
CA,USC/Los Angeles Times,1440,10/27/12,10/30/12,54,40,6,0,Live Phone,Likely Voters
MN,St. Cloud State,600,10/27/12,10/30/12,53,45,2,0,Live Phone,Likely Voters
NM,Public Policy,727,10/27/12,10/30/12,53,44,3,0,Live Phone,Likely Voters
NJ,Philadelphia Inquirer,601,10/27/12,10/30/12,51,41,8,0,Live Phone,Likely Voters
VA,Washington Post,1228,10/27/12,10/30/12,51,47,2,0,Live Phone,Likely Voters
--,United Technologies/National Journal,713,10/25/12,10/30/12,50,45,0,2,Live Phone,Likely Voters
PA,Philadelphia Inquirer,600,10/27/12,10/30/12,49,43,8,0,Live Phone,Likely Voters
--,ABC News/Washington Post,1259,10/25/12,10/30/12,49,49,0,0,Live Phone,Likely Voters
--,DailyKos/PPP/SEIU,1400,10/25/12,10/30/12,49,49,0,0,Live Phone,Likely Voters
VA,Gravis Marketing,645,10/27/12,10/30/12,48,48,4,0,Live Phone,Likely Voters
--,CBS News/New York Times,563,10/25/12,10/30/12,48,47,0,2,Live Phone,Likely Voters
NC,Civitas,600,10/27/12,10/30/12,47,48,5,0,Live Phone,Likely Voters
NC,Rasmussen,500,10/27/12,10/30/12,46,52,2,0,Live Phone,Likely Voters
MO,Mason-Dixon,625,10/27/12,10/30/12,41,54,5,0,Live Phone,Likely Voters
TN,MTSU,609,10/27/12,10/30/12,34,59,7,0,Live Phone,Likely Voters
OK,SoonerPoll,305,10/27/12,10/30/12,33,59,8,0,Live Phone,Likely Voters
OH,Public Policy,718,10/28/12,10/31/12,51,47,2,0,Live Phone,Likely Voters
NM,Albuquerque Journal,662,10/28/12,10/31/12,50,41,9,0,Live Phone,Likely Voters
OH,Gravis Marketing,730,10/28/12,10/31/12,50,49,1,0,Live Phone,Likely Voters
FL,Public Policy,687,10/28/12,10/31/12,49,48,3,0,Live Phone,Likely Voters
NH,Public Policy,874,10/28/12,10/31/12,49,47,4,0,Live Phone,Likely Voters
OH,Ohio Newspaper Poll,1015,10/28/12,10/31/12,49,49,2,0,Live Phone,Likely Voters
--,YouGov/The YouGov,757,10/26/12,10/31/12,48,46,0,4,Live Phone,Likely Voters
MN,Mason-Dixon,800,10/28/12,10/31/12,47,44,9,0,Live Phone,Likely Voters
NE,Wiese Research (2nd CD Only),800,10/28/12,10/31/12,44,49,7,0,Live Phone,Registered Voters
NE,Wiese Research,800,10/28/12,10/31/12,38,52,10,0,Live Phone,Registered Voters
MD,Baltimore Sun,,10/29/12,11/1/12,55,36,9,0,Live Phone,Registered Voters
MA,Boston Globe,583,10/29/12,11/1/12,52,38,10,0,Live Phone,Likely Voters
FL,CNN | ORC,770,10/29/12,11/1/12,49,50,1,0,Live Phone,Likely Voters
OH,Rasmussen,750,10/29/12,11/1/12,48,50,2,0,Live Phone,Likely Voters
CO,American Research Group,600,10/29/12,11/1/12,47,48,5,0,Live Phone,Likely Voters
--,Rasmussen ,1500,10/27/12,11/1/12,47,49,0,2,Live Phone,Likely Voters
NC,Elon University,1238,10/29/12,11/1/12,45,45,10,0,Live Phone,Likely Voters
NY,SurveyUSA,554,10/30/12,11/2/12,62,33,5,0,Live Phone,Likely Voters
--,ABC News/Washington Post,1293,10/28/12,11/2/12,49,48,0,2,Live Phone,Likely Voters
FL,SurveyUSA,595,10/30/12,11/2/12,47,47,6,0,Live Phone,Likely Voters
OR,Elway Research,405,10/30/12,11/2/12,47,41,12,0,Live Phone,Likely Voters
--,Fox News,1230,10/28/12,11/2/12,46,45,2,6,Live Phone,Likely Voters
--,JZAnalytics,1015,10/28/12,11/2/12,45,48,2,4,Live Phone,Likely Voters
GA,SurveyUSA,574,10/30/12,11/2/12,44,52,4,0,Live Phone,Likely Voters
MA,Suffolk University,600,10/31/12,11/3/12,63,31,6,0,Live Phone,Likely Voters
MA,Rasmussen,500,10/31/12,11/3/12,59,40,1,0,Live Phone,Likely Voters
IL,We Ask America,1198,10/31/12,11/3/12,57,41,2,0,Live Phone,Likely Voters
CA,CBRT Pepperdine,2115,10/31/12,11/3/12,56,33,11,0,Live Phone,Likely Voters
MI,Public Policy,500,10/31/12,11/3/12,53,45,2,0,Live Phone,Likely Voters
WI,Public Policy,825,10/31/12,11/3/12,51,46,3,0,Live Phone,Likely Voters
WI,Marquette Univ. Law School,1243,10/31/12,11/3/12,51,43,6,0,Live Phone,Likely Voters
CO,We Ask America,1246,10/31/12,11/3/12,50,47,3,0,Live Phone,Likely Voters
IA,Public Policy,676,10/31/12,11/3/12,50,45,5,0,Live Phone,Likely Voters
OH,Quinnipiac,1110,10/31/12,11/3/12,50,45,5,0,Live Phone,Likely Voters
OH,Public Policy,600,10/31/12,11/3/12,50,45,5,0,Live Phone,Likely Voters
FL,We Ask America,1146,10/31/12,11/3/12,49,50,1,0,Live Phone,Likely Voters
IA,We Ask America,1174,10/31/12,11/3/12,49,47,4,0,Live Phone,Likely Voters
NC,Public Policy,730,10/31/12,11/3/12,49,49,2,0,Live Phone,Likely Voters
OR,DHM Research,500,10/31/12,11/3/12,49,42,9,0,Live Phone,Registered Voters
PA,Franklin & Marshall,547,10/31/12,11/3/12,49,45,6,0,Live Phone,Likely Voters
VA,Quinnipiac,1074,10/31/12,11/3/12,49,47,4,0,Live Phone,Likely Voters
--,Washington Times/JZ Analytics,800,10/29/12,11/3/12,49,49,0,0,Live Phone,Likely Voters
FL,Quinnipiac,1073,10/31/12,11/3/12,48,47,5,0,Live Phone,Likely Voters
MI,Glengariff Group,600,10/31/12,11/3/12,48,45,7,0,Live Phone,Likely Voters
MI,EPIC-MRA,600,10/31/12,11/3/12,48,42,10,0,Live Phone,Likely Voters
OH,Ohio Poll,1141,10/31/12,11/3/12,48,46,6,0,Live Phone,Likely Voters
OH,SurveyUSA,603,10/31/12,11/3/12,48,45,7,0,Live Phone,Likely Voters
--,Politico/George Washington University/Battleground,1000,10/29/12,11/3/12,48,49,0,2,Live Phone,Likely Voters
FL,Gravis Marketing,549,10/31/12,11/3/12,47,50,3,0,Live Phone,Likely Voters
NC,SurveyUSA,682,10/31/12,11/3/12,45,50,5,0,Live Phone,Likely Voters
VA,Roanoke College,638,10/31/12,11/3/12,44,49,7,0,Live Phone,Likely Voters
MO,We Ask America,1217,10/31/12,11/3/12,42,54,4,0,Live Phone,Likely Voters
ND,Mason-Dixon,625,10/31/12,11/3/12,40,54,6,0,Live Phone,Likely Voters
WA,Washington Poll,632,11/1/12,11/4/12,57,36,7,0,Live Phone,Likely Voters
RI,Fleming & Associates,601,11/1/12,11/4/12,54,33,13,0,Live Phone,Likely Voters
WA,SurveyUSA,555,11/1/12,11/4/12,54,40,6,0,Live Phone,Likely Voters
WI,St. Norbert College,402,11/1/12,11/4/12,51,42,7,0,Live Phone,Likely Voters
CO,CNN | ORC,764,11/1/12,11/4/12,50,48,2,0,Live Phone,Likely Voters
IA,NBC/WSJ/Marist,1142,11/1/12,11/4/12,50,44,6,0,Live Phone,Likely Voters
MN,SurveyUSA,574,11/1/12,11/4/12,50,43,7,0,Live Phone,Likely Voters
NV,SurveyUSA,1212,11/1/12,11/4/12,50,46,4,0,Live Phone,Likely Voters
NH,NBC/WSJ/Marist,1013,11/1/12,11/4/12,49,47,4,0,Live Phone,Likely Voters
VA,Public Policy,600,11/1/12,11/4/12,49,46,5,0,Live Phone,Likely Voters
VA,Ipsos/Reuters,792,11/1/12,11/4/12,49,44,7,0,Live Phone,Likely Voters
WI,Rasmussen,750,11/1/12,11/4/12,49,49,2,0,Live Phone,Likely Voters
WI,NBC/WSJ/Marist,1065,11/1/12,11/4/12,49,46,5,0,Live Phone,Likely Voters
--,PPP/Americans United for Change,1200,10/30/12,11/4/12,49,48,0,2,Live Phone,Likely Voters
FL,Ipsos/Reuters,897,11/1/12,11/4/12,48,46,6,0,Live Phone,Likely Voters
IA,Rasmussen,750,11/1/12,11/4/12,48,49,3,0,Live Phone,Likely Voters
CO,Rasmussen,750,11/1/12,11/4/12,47,50,3,0,Live Phone,Likely Voters
OH,Ipsos/Reuters,936,11/1/12,11/4/12,47,45,8,0,Live Phone,Likely Voters
CO,Ipsos/Reuters,694,11/1/12,11/4/12,46,47,7,0,Live Phone,Likely Voters
HI,Merriman River Group,1218,11/2/12,11/5/12,61,34,5,0,Live Phone,Likely Voters
ME,Public Policy,1633,11/2/12,11/5/12,55,42,3,0,Live Phone,Likely Voters
MN,Public Policy,772,11/2/12,11/5/12,53,44,3,0,Live Phone,Likely Voters
MI,Rasmussen,750,11/2/12,11/5/12,52,47,1,0,Live Phone,Likely Voters
MI,Public Policy,500,11/2/12,11/5/12,52,46,2,0,Live Phone,Likely Voters
OR,Public Policy,921,11/2/12,11/5/12,52,46,2,0,Live Phone,Likely Voters
WI,We Ask America,1210,11/2/12,11/5/12,52,45,3,0,Live Phone,Likely Voters
ME,Public Policy (2nd CD Only),768,11/2/12,11/5/12,51,46,3,0,Live Phone,Likely Voters
CO,Public Policy,825,11/2/12,11/5/12,50,46,4,0,Live Phone,Likely Voters
ME,Gravis Marketing (2nd CD Only),509,11/2/12,11/5/12,50,47,3,0,Live Phone,Likely Voters
NH,New England College,1017,11/2/12,11/5/12,50,44,6,0,Live Phone,Likely Voters
NH,Gravis Marketing,497,11/2/12,11/5/12,50,49,1,0,Live Phone,Likely Voters
OH,We Ask America,1649,11/2/12,11/5/12,50,46,4,0,Live Phone,Likely Voters
OH,CNN | ORC,796,11/2/12,11/5/12,50,47,3,0,Live Phone,Likely Voters
IA,Gravis Marketing,594,11/2/12,11/5/12,49,45,6,0,Live Phone,Likely Voters
OH,Rasmussen,750,11/2/12,11/5/12,49,49,2,0,Live Phone,Likely Voters
VA,We Ask America,1069,11/2/12,11/5/12,49,48,3,0,Live Phone,Likely Voters
--,ABC News/Washington Post,2069,10/31/12,11/5/12,49,48,0,2,Live Phone,Likely Voters
--,Pew,3151,10/31/12,11/5/12,49,42,2,6,Live Phone,Likely Voters
--,YouGov,6000,10/31/12,11/5/12,49,47,0,2,Live Phone,Likely Voters
FL,Ipsos/Reuters,985,11/2/12,11/5/12,48,46,6,0,Live Phone,Likely Voters
VA,Ipsos/Reuters,1065,11/2/12,11/5/12,48,45,7,0,Live Phone,Likely Voters
--,Ipsos/Reuters,5158,10/31/12,11/5/12,48,42,2,6,Live Phone,Likely Voters
CO,SurveyUSA,695,11/2/12,11/5/12,47,45,8,0,Live Phone,Likely Voters
OH,Ipsos/Reuters,1012,11/2/12,11/5/12,47,45,8,0,Live Phone,Likely Voters
CO,Ipsos/Reuters,1052,11/2/12,11/5/12,46,46,8,0,Live Phone,Likely Voters
NC,High Point University,403,11/2/12,11/5/12,45,46,9,0,Live Phone,Likely Voters
IN,Howey / DePauw,800,11/2/12,11/5/12,41,50,9,0,Live Phone,Likely Voters
NE,We Ask America,1178,11/2/12,11/5/12,41,54,5,0,Live Phone,Likely Voters
MD,YouGov,705,11/4/12,11/6/12,59,37,4,0,Live Phone,Likely Voters
NY,YouGov,1430,11/4/12,11/6/12,59,36,5,0,Live Phone,Likely Voters
MA,Western New England Univ.,535,11/4/12,11/6/12,58,40,2,0,Live Phone,Likely Voters
MA,Public Policy,1089,11/3/12,11/6/12,57,42,1,0,Live Phone,Likely Voters
IL,YouGov,1126,11/4/12,11/6/12,57,38,5,0,Live Phone,Likely Voters
MA,YouGov,811,11/4/12,11/6/12,57,37,6,0,Live Phone,Likely Voters
MA,UMass/Boston Herald,800,11/5/12,11/6/12,57,37,6,0,Live Phone,Likely Voters
CT,Public Policy,1220,11/3/12,11/6/12,55,42,3,0,Live Phone,Likely Voters
CA,YouGov,1575,11/4/12,11/6/12,55,40,5,0,Live Phone,Likely Voters
CA,Field Research,1566,11/3/12,11/6/12,54,39,7,0,Live Phone,Likely Voters
CT,YouGov,895,11/4/12,11/6/12,54,39,7,0,Live Phone,Likely Voters
WA,YouGov,837,11/4/12,11/6/12,54,40,6,0,Live Phone,Likely Voters
MN,Public Policy,1164,11/3/12,11/6/12,53,45,2,0,Live Phone,Likely Voters
WA,Public Policy,932,11/3/12,11/6/12,53,46,1,0,Live Phone,Likely Voters
NJ,YouGov,987,11/4/12,11/6/12,53,41,6,0,Live Phone,Likely Voters
MI,Public Policy,700,11/3/12,11/6/12,52,46,2,0,Live Phone,Likely Voters
PA,Public Policy,790,11/3/12,11/6/12,52,46,2,0,Live Phone,Likely Voters
OH,Public Policy,1000,11/4/12,11/6/12,52,47,1,0,Live Phone,Likely Voters
PA,YouGov,1273,11/4/12,11/6/12,52,44,4,0,Live Phone,Likely Voters
CO,Public Policy,1096,11/5/12,11/6/12,52,46,2,0,Live Phone,Likely Voters
MN,SurveyUSA,556,11/5/12,11/6/12,52,41,7,0,Live Phone,Likely Voters
OH,NBC/WSJ/Marist,971,11/3/12,11/6/12,51,45,4,0,Live Phone,Likely Voters
WI,Public Policy,1256,11/3/12,11/6/12,51,48,1,0,Live Phone,Likely Voters
--,Angus Reid Public Opinion[permanent dead link],1050,11/1/12,11/6/12,51,48,0,0,Live Phone,Likely Voters
MI,YouGov,1091,11/4/12,11/6/12,51,44,5,0,Live Phone,Likely Voters
VA,Public Policy,975,11/4/12,11/6/12,51,47,2,0,Live Phone,Likely Voters
MI,Mitchell Research,1305,11/5/12,11/6/12,51,46,3,0,Live Phone,Likely Voters
NV,Public Policy,750,11/5/12,11/6/12,51,47,2,0,Live Phone,Likely Voters
--,PPP/Americans United for Change,1200,11/1/12,11/6/12,50,47,0,2,Live Phone,Likely Voters
IA,Public Policy,1122,11/4/12,11/6/12,50,48,2,0,Live Phone,Likely Voters
MN,YouGov,790,11/4/12,11/6/12,50,43,7,0,Live Phone,Likely Voters
NH,Public Policy,1550,11/4/12,11/6/12,50,48,2,0,Live Phone,Likely Voters
OH,Columbus Dispatch,1501,11/4/12,11/6/12,50,48,2,0,Live Phone,Likely Voters
WI,YouGov,1225,11/4/12,11/6/12,50,46,4,0,Live Phone,Likely Voters
--,CNN/Opinion Research,918,11/2/12,11/6/12,50,48,0,0,Live Phone,Likely Voters
FL,Public Policy,955,11/5/12,11/6/12,50,49,1,0,Live Phone,Likely Voters
NH,Granite State Poll - Univ. of NH,789,11/5/12,11/6/12,50,46,4,0,Live Phone,Likely Voters
NH,New England College,687,11/5/12,11/6/12,50,46,4,0,Live Phone,Likely Voters
NH,Rasmussen,750,11/5/12,11/6/12,50,48,2,0,Live Phone,Likely Voters
OH,Ohio Poll,889,11/5/12,11/6/12,50,49,1,0,Live Phone,Likely Voters
OH,Ipsos/Reuters,680,11/5/12,11/6/12,50,46,4,0,Live Phone,Likely Voters
FL,NBC/WSJ/Marist,1545,11/3/12,11/6/12,49,47,4,0,Live Phone,Likely Voters
--,Democracy Corps,1080,11/1/12,11/6/12,49,45,0,4,Live Phone,Likely Voters
--,Gallup ,2854,11/1/12,11/6/12,49,46,0,2,Live Phone,Likely Voters
--,Rasmussen ,3000,11/1/12,11/6/12,49,49,0,0,Live Phone,Likely Voters
ME,Critical Insights,613,11/4/12,11/6/12,49,42,9,0,Live Phone,Likely Voters
NM,YouGov,650,11/4/12,11/6/12,49,43,8,0,Live Phone,Likely Voters
NV,YouGov,732,11/4/12,11/6/12,49,45,6,0,Live Phone,Likely Voters
OH,YouGov,1620,11/4/12,11/6/12,49,46,5,0,Live Phone,Likely Voters
PA,Morning Call/Muhlenberg,430,11/4/12,11/6/12,49,46,5,0,Live Phone,Likely Voters
FL,Gravis Marketing,1060,11/5/12,11/6/12,49,49,2,0,Live Phone,Likely Voters
NC,Public Policy,926,11/5/12,11/6/12,49,49,2,0,Live Phone,Likely Voters
NH,American Research Group,600,11/5/12,11/6/12,49,49,2,0,Live Phone,Likely Voters
OH,Rasmussen,750,11/5/12,11/6/12,49,49,2,0,Live Phone,Likely Voters
OH,SurveyUSA,803,11/5/12,11/6/12,49,44,7,0,Live Phone,Likely Voters
OH,Gravis Marketing,1316,11/5/12,11/6/12,49,48,3,0,Live Phone,Likely Voters
PA,Gravis Marketing,1060,11/5/12,11/6/12,49,46,5,0,Live Phone,Likely Voters
NH,Granite State Poll - Univ. of NH,502,11/3/12,11/6/12,48,48,4,0,Live Phone,Likely Voters
VA,Ipsos/Reuters,947,11/3/12,11/6/12,48,45,7,0,Live Phone,Likely Voters
--,NBC/WSJ,1475,11/1/12,11/6/12,48,47,0,2,Live Phone,Likely Voters
CO,Ipsos/Reuters,676,11/4/12,11/6/12,48,48,4,0,Live Phone,Likely Voters
CO,YouGov,752,11/4/12,11/6/12,48,47,5,0,Live Phone,Likely Voters
IA,YouGov,1040,11/4/12,11/6/12,48,47,5,0,Live Phone,Likely Voters
OH,Ipsos/Reuters,712,11/4/12,11/6/12,48,44,8,0,Live Phone,Likely Voters
VA,YouGov,1497,11/4/12,11/6/12,48,46,6,0,Live Phone,Likely Voters
--,Rasmussen ,1500,11/2/12,11/6/12,48,49,0,2,Live Phone,Likely Voters
CO,Ipsos/Reuters,774,11/5/12,11/6/12,48,47,5,0,Live Phone,Likely Voters
IA,American Research Group,600,11/5/12,11/6/12,48,49,3,0,Live Phone,Likely Voters
VA,NBC/WSJ/Marist,1165,11/5/12,11/6/12,48,47,5,0,Live Phone,Likely Voters
VA,Rasmussen,750,11/5/12,11/6/12,48,50,2,0,Live Phone,Likely Voters
VA,Ipsos/Reuters,828,11/5/12,11/6/12,48,46,6,0,Live Phone,Likely Voters
FL,Ipsos/Reuters,946,11/3/12,11/6/12,47,47,6,0,Live Phone,Likely Voters
IA,Selzer & Co.,800,11/3/12,11/6/12,47,42,11,0,Live Phone,Likely Voters
FL,YouGov,1621,11/4/12,11/6/12,47,48,5,0,Live Phone,Likely Voters
NC,YouGov,1500,11/4/12,11/6/12,47,49,4,0,Live Phone,Likely Voters
NH,YouGov,690,11/4/12,11/6/12,47,43,10,0,Live Phone,Likely Voters
PA,Susquehanna Polling & Research,800,11/4/12,11/6/12,47,47,6,0,Live Phone,Likely Voters
VA,Ipsos/Reuters,662,11/4/12,11/6/12,47,46,7,0,Live Phone,Likely Voters
FL,Insider Advantage,437,11/5/12,11/6/12,47,52,1,0,Live Phone,Registered Voters
FL,Ipsos/Reuters,769,11/5/12,11/6/12,47,48,5,0,Live Phone,Likely Voters
OH,Ipsos/Reuters,1031,11/3/12,11/6/12,46,45,9,0,Live Phone,Likely Voters
AZ,Public Policy,1080,11/4/12,11/6/12,46,53,1,0,Live Phone,Likely Voters
FL,Ipsos/Reuters,743,11/4/12,11/6/12,46,46,8,0,Live Phone,Likely Voters
MI,"Foster, Baydoun",1913,11/4/12,11/6/12,46,47,7,0,Live Phone,Likely Voters
NC,Gravis Marketing,1130,11/5/12,11/6/12,46,50,4,0,Live Phone,Likely Voters
CO,Ipsos/Reuters,973,11/3/12,11/6/12,45,47,8,0,Live Phone,Likely Voters
FL,Mason-Dixon,800,11/3/12,11/6/12,45,51,4,0,Live Phone,Likely Voters
MO,Public Policy,835,11/4/12,11/6/12,45,53,2,0,Live Phone,Likely Voters
MT,Public Policy,836,11/4/12,11/6/12,45,52,3,0,Live Phone,Likely Voters
AZ,YouGov,702,11/4/12,11/6/12,44,52,4,0,Live Phone,Likely Voters
GA,YouGov,1070,11/4/12,11/6/12,44,52,4,0,Live Phone,Likely Voters
IN,YouGov,768,11/4/12,11/6/12,44,51,5,0,Live Phone,Likely Voters
IN,Rasmussen,600,11/4/12,11/6/12,43,52,5,0,Live Phone,Likely Voters
MT,Rasmussen,500,11/4/12,11/6/12,43,53,4,0,Live Phone,Likely Voters
MT,Mason-Dixon,625,11/4/12,11/6/12,43,53,4,0,Live Phone,Likely Voters
MO,SurveyUSA,589,11/5/12,11/6/12,43,50,7,0,Live Phone,Likely Voters
SD,Nielson Brothers,671,11/3/12,11/6/12,42,50,8,0,Live Phone,Likely Voters
MO,YouGov,779,11/4/12,11/6/12,42,53,5,0,Live Phone,Likely Voters
TN,YouGov,697,11/4/12,11/6/12,42,53,5,0,Live Phone,Likely Voters
TX,YouGov,1563,11/4/12,11/6/12,38,57,5,0,Live Phone,Likely Voters
UT,Dan Jones & Assoc.,870,11/3/12,11/6/12,26,69,5,0,Live Phone,Registered Voters
